Channel Number,Frequency,Bias Line,Optically Active,Selected
0,6761443781.25006,12,1,1
1,6763060031.25005,12,1,1
2,6764444937.50005,12,1,1
3,6769629835.93755,12,1,1
4,6771352515.62505,12,1,1
5,6772906132.81255,12,1,1
6,6774707585.93755,12,1,1
7,6776872492.18756,-1,0,1
8,6778155156.25005,12,1,1
9,6783264414.06255,12,1,1
10,6785166617.18755,-1,0,0
11,6788519156.25005,12,1,0
12,6789935312.50005,12,1,0
13,6791565054.68755,12,1,0
14,6793148390.62505,12,1,0
15,6794901132.81255,-1,0,0
16,6800165015.62505,12,1,0
17,6801756484.37505,12,1,0
18,6803278742.18756,12,1,0
19,6805114234.37505,-1,0,0
20,6806539804.68755,12,1,0
21,6808774296.87505,-1,0,0
22,6818071640.62505,12,1,0
23,6819779554.68755,-1,0,0
24,6821299250.00005,12,1,0
25,6822941195.31255,12,1,0
26,6824010390.62505,12,1,0
27,6830208562.50005,12,1,0
28,6833935898.43755,12,1,0
29,6835799781.25005,12,1,0
30,6837251390.62505,12,1,0
31,6839413945.31255,12,1,0
32,6841120468.75005,12,1,0
33,6842904179.68755,12,1,0
34,6844899320.31255,-1,0,0
35,6846555898.43755,12,1,0
36,6848138117.18755,-1,0,0
37,6850191195.31255,12,1,0
38,6851033804.68755,12,1,0
39,6852765859.37505,12,1,0
40,6854178054.68755,12,1,0
41,6855502210.93755,12,1,0
42,6858625164.06255,12,1,0
43,6860654531.25005,12,1,0
44,6862633671.87505,12,1,0
45,6864359007.81256,12,1,0
46,6865931617.18755,12,1,0
47,6871385718.75005,12,1,0
48,6949835484.37504,12,1,0
49,,-1,0,0
