,freqs
0,6761443781.250054
1,6763060031.250047
2,6764444937.500048
3,6769629835.937551
4,6771352515.625051
5,6772906132.81255
6,6774707585.937548
7,6776872492.187554
8,6778155156.25005
9,6783264414.062549
10,6785166617.187548
11,6788519156.250048
12,6789935312.500049
13,6791565054.687548
14,6793148390.625051
15,6794901132.812549
16,6800165015.625051
17,6801756484.375048
18,6803278742.187554
19,6805114234.375051
20,6806539804.687549
21,6808774296.87505
22,6818071640.625054
23,6819779554.687553
24,6821299250.000054
25,6822941195.312549
26,6824010390.625048
27,6830208562.500048
28,6833935898.437554
29,6835799781.250051
30,6837251390.625046
31,6839413945.31255
32,6841120468.750054
33,6842904179.68755
34,6844899320.312551
35,6846555898.437553
36,6848138117.187554
37,6850191195.312549
38,6851033804.687548
39,6852765859.375053
40,6854178054.687545
41,6855502210.937553
42,6858625164.062552
43,6860654531.250053
44,6862633671.87505
45,6864359007.812556
46,6865931617.187551
47,6871385718.750051
48,6949835484.375038
