,Channel Freq (Hz),Rn Al (mOhm)
0,4534633671.87505,0.012847687977120999
1,4536828218.7500515,0.01235160711680227
2,4539222703.1250515,0.011983828587295863
3,4540859539.062552,
4,4542408921.875049,0.01169794871179482
5,4544816640.625053,0.01178886117085378
6,4546967468.750049,0.011577173483422253
7,4548766953.125054,0.012950892937185418
8,4550739929.687549,0.012308380884470692
9,4552901250.00005,0.011927269404798355
10,4554853398.43755,0.011594121222853814
11,4557242257.8125515,0.0114653817791849
12,4560154531.250053,0.013480169056209829
13,4563357117.187549,0.012513433370402394
14,4566880812.500051,0.011993060222921532
15,4568718937.500052,0.012561072352271021
16,4570681640.625051,0.01166344498981663
17,4571168710.937549,0.012018633436144639
18,4573133000.000052,0.011824734134305421
19,4573974750.000052,
20,4574776484.3750515,0.013766853772295966
21,4576827820.312549,0.011698615458785058
22,4579061406.25005,0.011820541779338663
23,4580611187.50005,0.01327710648243361
24,4582673250.000054,0.01267538056053973
25,4584975007.812554,0.01206005563579161
26,4586936453.125051,0.013817468526409006
27,4589046757.81255,0.011472658190528943
28,4591674132.812553,0.011409158831632966
29,4595179734.3750515,0.012880242298325507
30,4596480445.312551,
31,4598383117.187553,0.012261211569501836
32,4601029484.375052,0.012267478566597868
33,4602423578.125057,0.01183216337191495
34,4604227937.500054,0.01146489383241072
35,4605415781.250049,0.011554460169879925
36,4607853539.0625515,0.012942259424470776
37,4609339984.375052,
38,4610841820.3125515,
39,4613129000.0000515,
40,4614082101.5625515,
41,4614974468.75005,
42,4616375164.062552,
43,4622426945.312552,
44,4624111492.187552,
45,4626025320.312551,
46,4627705054.687551,
47,4632333937.500051,0.012909041069138257
48,4634427664.062551,0.01203287117655382
49,4636058710.9375515,0.011590705847009813
50,4637801039.062553,0.011287895362435876
51,4639517460.93755,0.011164933905923248
52,4641332914.062551,0.011012779827763816
53,4642909992.18755,
54,4645141437.50005,
55,4647302968.750053,
56,4648213031.250052,
57,4649391414.06255,
58,4649473632.8125,
59,4649721632.812551,
60,4654279484.375052,
61,4655691265.62505,
62,4657877976.5625515,
63,4659588007.8125515,
64,4666794203.125053,0.013444075845778714
65,4669536015.62505,0.014978003393888478
66,4670344609.37505,0.012136886707628736
67,4672975304.687549,0.013464551570835023
68,4675462914.0625515,0.015321639206286559
69,4677981539.0625515,
70,4679191335.937551,
71,4680636601.56255,
72,4683881648.43755,
73,4685658851.562548,
74,4686872046.875051,
75,4687746882.81255,
76,4691975726.562552,
77,4693971914.062553,
78,4696167851.56255,
79,4698899390.625051,
80,4701542296.875053,0.012989921416657838
81,4703187734.375053,0.012349909865264672
82,4704787968.75005,0.011858591217700623
83,4706837218.750053,0.012934943236306357
84,4708375835.93755,0.011250006835128439
85,4710282992.187549,
86,4711644554.6875515,
87,4712554851.562552,
88,4714216867.1875515,
89,4715614093.75005,
90,4717740117.18755,
91,4720199078.12505,
92,4724085031.2500515,
93,4725903414.0625515,
94,4727422757.812551,
95,4729914992.187551,
96,4730567265.62505,
97,4732924781.250051,
98,4734571687.500054,
99,4736028367.1875515,
100,4737674921.8750515,
101,4739639976.562553,
102,4740772343.75005,
103,4743369882.812549,
104,4746300757.812551,
105,4747635835.9375515,
106,4749226679.6875515,
107,4753637625.000051,
108,4755568078.125049,
109,4757837656.250049,
110,4759844562.50005,
111,4760767625.0000515,
112,4764872234.375052,
113,4766301968.750052,
114,4767865468.750053,
115,4769431382.812549,
116,4771209101.5625515,
117,4773302921.875052,
118,4775113070.312549,
119,4777758000.000052,
120,4779714054.687552,
121,4780748000.000051,
122,4782945593.750053,
123,4785087773.43755,
124,4787337585.937549,
125,4789318781.250054,
126,4791269437.500051,
127,4791893531.250051,
128,4802915367.187553,
129,4803809429.68755,
130,4804859468.7500515,
131,4806454382.812553,
132,4808057664.0625515,
133,4809810664.0625515,
134,4810673781.250051,
135,4813332007.812551,
136,4816021320.31255,
137,4818033203.125051,
138,4820138906.250053,
139,4821792414.062554,
140,4823730492.1875515,
141,4826334406.250054,
142,4828481304.68755,
143,4831025273.43755,
144,4833009929.687552,
145,4836697335.9375515,
146,4837610164.06255,
147,4838841960.937552,
148,4840341031.250052,
149,4841851375.00005,
150,4843234257.81255,
151,4845626187.500052,
152,4847838960.9375515,
153,4850199453.125053,
154,4852195523.437552,
155,4854191664.062553,
156,4856118187.5000515,
157,4858346125.000054,
158,4860538203.1250515,
159,4862738468.750052,
160,4865224234.375048,
